cpse_id,material_code,material_description,material_long_text,material_group_code,material_group_description,uom,manufacturer,plant_or_location,unit_price,currency,source_system,created_date,_true_material_id,_variant_style
IOCL,IOC-GAS-708089,SPIRAL WOUND GASKET SS304/GRAPHITE NOMINAL BORE 250 CLASS 300 ASME B16.20,Application: industrial service. Material: SS304/Graphite. Size: 250 mm. Pressure class: 300. Standard: ASME B16.20. Manufacturer: John Crane.,GSK-50,Sealing & Gasket Materials,EA,John Crane,Paradip,7267.77,INR,LEGACY_ERP,2026-01-02,MAT_07180,verbose
IOCL,IOC-ALT-003807,LTCS / PIPE 40MM SCH 40 ASTM A106,Application: industrial service. Material: LTCS. Size: 40 mm. Standard: ASTM A106. Schedule: 40.,PIP-20,Piping Materials,M,Ratnamani Metals,Gujarat,521.08,INR,CUSTOM_ERP,2022-02-13,MAT_00258,partial_description
NTPC,NTP-PIP-705181,IS 1239 PROCESS PIPE 15NB SCH 80 ASTM A312,,PIP-20,Piping Materials,M,Welspun,Singrauli,1002.19,INR,CUSTOM_ERP,2017-01-06,MAT_04272,standard_included
IOCL,IOC-ELE-707102,RELAY COPPER DN250 CL690V IEC 60947,Application: industrial service. Material: Copper. Size: 250 mm. Pressure class: 690V. Standard: IEC 60947. Manufacturer: L&T.,ELC-130,Electrical Switchgear & Components,EA,,Barauni,64869.21,INR,SAP_S4,2016-05-20,MAT_06193,abbreviation_variation
NTPC,NTP-CAB-707338,POWER CABLE 2C 1.5 SQMM COPPER IEC 60502,,CBL-80,Electrical Cables,RM,RR Kabel,Vijayawada,757.18,INR,CUSTOM_ERP,2016-07-19,MAT_06429,typo_injected
NTPC,NTP-CAB-705924,XLPE  ARMOURED  CABLE  1C  95  SQMM  COPPER  IEC  60502,,CBL-80,Electrical Cables,RM,,Vijayawada,102.61,INR,SAP_S4,2018-10-14,MAT_05015,noisy_erp
NTPC,NTP-INS-702655,FLOW TRANSMITTER SS316 DN25 IEC 60770,Application: industrial service. Material: SS316. Size: 25 mm. Standard: IEC 60770. ,INS-120,Instrumentation,PCS,Siemens,Singrauli,177626.88,INR,SAP_MM,2026-01-18,MAT_01746,abbreviation_variation
CPCL,CPCFLA00349,WELD NECK FLANGE CS,Application: industrial service. Material: CS. Size: 25 mm. Pressure class: 150. Standard: ASME B16.47. Manufacturer: Guru Gautam Steels.,FLG-30,Pipe Flanges & Fittings,PCS,Guru Gautam Steels,Manali,39100.71,INR,CUSTOM_ERP,2026-06-17,MAT_00349,partial_description
ONGC,OGC-ALT-004403,BLIND FLANGE CS 40MM CL 600 ASME B16.5 MFR VIRAJ PROFILES,Application: industrial service. Material: CS. Size: 40 mm. Pressure class: 600. Standard: ASME B16.5. Manufacturer: Viraj Profiles.,FLG-30,Pipe Flanges & Fittings,NOS,Viraj Profiles,Mumbai Offshore,21724.64,INR,SAP_S4,2017-08-05,MAT_00100,abbreviated
IOCL,IOC-INS-00070,PRESSURE  TRANSMITTER  SS316  150MM  IEC  60770 ITEM,Application: industrial service. Material: SS316. Size: 150 mm. Standard: IEC 60770. Manufacturer: Honeywell.,INS-120,Instrumentation,NOS,Honeywell,,89805.88,INR,SAP_MM,2017-11-30,MAT_00070,noisy_erp
NTPC,NTP-ALT-004165,150MM CAST IRON/SS PROCESS PUMP API 610,Application: industrial service. Material: Cast Iron/SS. Size: 150 mm. Standard: API 610. Power Kw: 5.5.,PMP-60,Pumps & Pump Spares,NOS,Sulzer,Dadri,773766.02,INR,SAP_ECC,2017-05-20,MAT_00328,abbreviation_variation
CPCL,CPC-ALT-004173,"BUTTERFLY VLV SS316 2"" CL 600 API 6D",,VLV-10,Flow Control Valves,NOS,Audco India,Ennore,72453.88,INR,SAP_MM,2018-02-02,MAT_00272,abbreviated
SAIL,STL-CAB-701678,PVC  ARMOURED  CABLE  1C  1.5  SQMM  COPPER  IS  7098,,CBL-80,Electrical Cables,RM,Polycab,Bokaro,1207.37,INR,LEGACY_ERP,2020-05-24,MAT_00769,noisy_erp
NTPC,NTP-PIP-00203,SS304 PIPE 200MM SCH 80 ASTM A106,Application: industrial service. Material: SS304. Size: 200 mm. Standard: ASTM A106. Manufacturer: Jindal SAW. Schedule: 80.,PIP-20,Piping Materials,MTR,Jindal SAW,Korba,3692.61,INR,SAP_S4,2022-07-18,MAT_00203,abbreviation_variation
ONGC,OGC-CAB-703471,POWER CABLE 1C 50 SQMM COPPER IS 7098,Application: industrial service. Material: Copper. Size: 50 mm. Standard: IS 7098. Manufacturer: Polycab.,CBL-80,Electrical Cables,RM,,Hazira,705.69,INR,SAP_ECC,2016-09-15,MAT_02562,unit_variation
