cpse_id,material_code,material_description,material_long_text,material_group_code,material_group_description,uom,manufacturer,plant_or_location,unit_price,currency,source_system,created_date,_true_material_id,_variant_style
NTPC,NTP-ALT-004748,CS PIPE 100MM SCH 10S API 5L,Application: industrial service. Material: CS. Size: 100 mm. Standard: API 5L. Manufacturer: Ratnamani Metals. Schedule: 10S.,PIP-20,Piping Materials,RM,,,1072.21,INR,CUSTOM_ERP,2025-09-04,MAT_00229,typo_injected
IOCL,IOC-CAB-00268,XLPE ARMOURED CABLE 3C 4 SQMM COPPER IS 7098,Application: industrial service. Material: Copper. Size: 4 mm. Standard: IS 7098. Cores: 3.,CBL-80,Electrical Cables,MTR,KEI,Barauni,1740.46,INR,SAP_ECC,2026-01-06,MAT_00268,standard_included
NTPC,NTP-ALT-005223,XLPE  ARMOURED  CABLE  4C  240  SQMM  COPPER  IS  7098 ITEM,,CBL-80,Electrical Cables,M,,Vijayawada,1266.22,INR,CUSTOM_ERP,2018-07-07,MAT_00234,noisy_erp
CPCL,CPC-ALT-004548,GATE VALVE DI,,VLV-10,Flow Control Valves,PCS,Audco India,Ennore,125042.71,INR,LEGACY_ERP,2017-03-16,MAT_00371,verbose
NTPC,NTP-PIP-00415,PIPE CS DN150 SCHEDULE 10S ASTM A312,Application: industrial service. Material: CS. Size: 150 mm. Standard: ASTM A312. Manufacturer: Jindal SAW. Schedule: 10S.,PIP-20,Piping Materials,MTR,Jindal SAW,Dadri,4900.2,INR,SAP_MM,2020-07-05,MAT_00415,verbose
SAIL,STL-ALT-003215,SLIP ON FLANGE SS304 100MM CLASS 150 ASME,Application: industrial service. Material: SS304. Size: 100 mm. Pressure class: 150. Standard: ASME B16.5.,FLG-30,Pipe Flanges & Fittings,PCS,Guru Gautam Steels,Bokaro,4369.01,INR,SAP_MM,2026-08-04,MAT_00173,missing_spec
CPCL,CPC-FIL-00054,AIR / FILTER CARBON STEEL/SS 50MM ISO 16889,Application: industrial service. Material: Carbon Steel/SS. Size: 50 mm. Standard: ISO 16889.,FLT-100,Filtration Materials,NOS,Donaldson,Nagapattinam,6481.61,INR,LEGACY_ERP,2022-12-08,MAT_00054,mixed_format
IOCL,IOC-FLA-00008,"SLIP ON FLANGE CS 3"" CL 300 ASME B16.5",Application: industrial service. Material: CS. Size: 80 mm. Pressure class: 300. Standard: ASME B16.5. Manufacturer: Viraj Profiles.,FLG-30,Pipe Flanges & Fittings,EA,Viraj Profiles,Barauni,6500.94,INR,SAP_ECC,2026-08-01,MAT_00008,unit_variation
IOCL,IOC-ALT-003472,TEMPERATURE GAUGE SS316 50MM IEC 60770 MFR HONEYWELL,Application: industrial service. Material: SS316. Size: 50 mm. Standard: IEC 60770.,INS-120,Instrumentation,PCS,,Panipat,,,SAP_S4,2023-06-25,MAT_00581,unit_variation
ONGC,OGC-ALT-003723,HEX HEAD BOLT SS304 M30 X 100MM IS 1363,Application: industrial service. Material: SS304. Size: 30 mm. Standard: IS 1363. Manufacturer: LPS Bossard. Length Mm: 100.,FST-90,Fasteners,EA,LPS Bossard,Mumbai Offshore,179.34,INR,LEGACY_ERP,2019-10-22,MAT_00162,unit_variation
ONGC,OGC-MOT-00212,AC INDUCTION MOTOR 45KW 960RPM FRAME 200 IS 12615,Application: industrial service. Material: Copper/Aluminium. Size: 200 mm. Standard: IS 12615. Manufacturer: Crompton. Power Kw: 45. Rpm: 960.,MTR-70,Electrical Motors,NOS,Crompton,Hazira,166173.3,INR,SAP_S4,2025-07-22,MAT_00212,abbreviation_variation
IOCL,IOC-CAB-00291,XLPE ARMOURED CABLE 2C 120 SQMM COPPER,Application: industrial service. Material: Copper. Size: 120 mm. Standard: IS 7098. Cores: 2.,CBL-80,Electrical Cables,MTR,RR Kabel,Panipat,864.62,INR,SAP_S4,2016-04-25,MAT_00291,missing_spec
NTPC,NTP-SEA-00085,O-RING SEAL NBR/EPDM/PTFE DN50 ASME B16.20,Application: industrial service. Material: NBR/EPDM/PTFE. Size: 50 mm. Standard: ASME B16.20. Manufacturer: Hallite.,SEL-110,Mechanical Seals,NOS,,Dadri,5684.92,INR,LEGACY_ERP,2020-12-23,MAT_00085,verbose
CPCL,CPC-FAS-00209,HEX HEAD BOLT SS304 M10 X 125MM IS 1363,Application: industrial service. Material: SS304. Size: 10 mm. Standard: IS 1363. Manufacturer: Unbrako. Length Mm: 125.,FST-90,Fasteners,NOS,Unbrako,Ennore,725.05,INR,SAP_MM,2022-09-15,MAT_00209,standard_included
CPCL,CPC-ALT-003910,MULTISTAGE PUMP CAST IRON/SS 150MM IS 5120 MFR FLOWSERVE,Application: industrial service. Material: Cast Iron/SS. Size: 150 mm. Standard: IS 5120. Manufacturer: Flowserve. Power Kw: 15.,PMP-60,Pumps & Pump Spares,EA,Flowserve,Chennai Refinery,757035.78,INR,SAP_ECC,2020-02-14,MAT_00358,abbreviated
